LYN-0001,Gym,Akses penuh ke ruang kebugaran dengan alat fitnes modern,55000
LYN-0002,Laundry,Layanan cuci dan setrika pakaian,35000
LYN-0003,Spa,Pijat relaksasi dan perawatan tubuh,145000
LYN-0004,Gym,Akses ruang kebugaran dengan pelatih pribadi,60000
LYN-0005,Laundry,Cuci pakaian dengan pewangi premium,38000
LYN-0006,Spa,Pijat tradisional dan aromaterapi,160000
LYN-0007,Gym,Akses ruang yoga dan peralatan kebugaran,52000
LYN-0008,Laundry,Pencucian dry clean pakaian berbahan khusus,42000
LYN-0009,Spa,Pijat batu panas dan perawatan herbal,155000
LYN-0010,Gym,Latihan kardio dengan alat-alat modern,48000
LYN-0011,Laundry,Layanan express 1 jam untuk pakaian khusus,47000
LYN-0012,Spa,Perawatan tubuh dan eksfoliasi kulit,140000
LYN-0013,Gym,Akses area gym khusus kelas Zumba,57000
LYN-0014,Laundry,Setrika profesional untuk pakaian formal,36000
LYN-0015,Spa,Masker wajah herbal dan perawatan rambut,130000
LYN-0016,Gym,Latihan beban dan kelas interval training,53000
LYN-0017,Laundry,Pembersihan sepatu dan barang kulit,45000
LYN-0018,Spa,Pijat refleksi kaki dan tangan,150000
LYN-0019,Gym,Akses gym dengan kelas pilates,65000
LYN-0020,Laundry,Layanan pencucian seprai dan handuk,31000
LYN-0021,Spa,Pijat shiatsu dan perawatan aromaterapi,165000
LYN-0022,Gym,Akses gym khusus dengan kelas spinning,58000
LYN-0023,Laundry,Cuci kiloan dengan pewangi natural,34000
LYN-0024,Spa,Terapi akupresur untuk relaksasi,140000
LYN-0025,Gym,Akses alat fitnes dan area bebas angkat beban,59000
LYN-0026,Laundry,Layanan cuci baju berlapis bahan halus,37000
LYN-0027,Spa,Masker wajah herbal dan body scrub,135000
LYN-0028,Gym,Akses ruang fitnes dan kelas kebugaran mingguan,54000
LYN-0029,Laundry,Layanan dry clean untuk jas dan gaun formal,41000
LYN-0030,Spa,Pijat relaksasi dengan minyak esensial alami,147000
